state,avg_annual_rain_mm,avg_temp_c,avg_humidity_pct,coastal,mountainous,hazard_label
Telangana,942,30.56080098661765,56,0,0,Heatwave
Karnataka,1173,26.995759461275245,70,1,0,Flood
Jharkhand,1342,28.570944677620375,66,0,0,Flood
Madhya Pradesh,1105,29.860508419145287,63,0,0,Heatwave
Punjab,628,27.747054016267032,52,0,0,Flood
Haryana,706,27.22506102517419,53,0,0,Heatwave
Delhi,744,29.297721637326067,48,0,0,Heatwave
Kerala,2873,27.73751162344836,78,1,0,Flood
Assam,2760,25.37765787315974,83,0,1,Flood
Bihar,1210,29.394218958308542,60,0,0,Flood
Uttar Pradesh,1015,29.780041373675346,58,0,0,Heatwave
Rajasthan,527,31.86183696820935,40,0,0,Drought
Gujarat,828,29.463358956630447,55,1,0,Drought
Odisha,1480,30.495691588028784,80,1,0,Cyclone
Andhra Pradesh,1197,30.179404950431238,71,1,0,Cyclone
Tamil Nadu,952,30.663477552534786,70,1,0,Cyclone
West Bengal,1654,29.786376083250424,79,1,0,Flood
Himachal Pradesh,1190,18.613301356451366,57,0,1,Landslide
Uttarakhand,1596,19.812158317851036,67,0,1,Landslide
Maharashtra,1187,27.906198202235707,66,0,0,Flood
Telangana,772,30.99407808085561,58,0,0,Heatwave
Karnataka,1082,26.233126474612657,66,1,0,Flood
Jharkhand,1351,27.22920876246505,73,0,0,Flood
Madhya Pradesh,991,28.4519317961727,57,0,0,Heatwave
Punjab,617,26.39096945180355,54,0,0,Flood
Haryana,729,27.968775547847933,52,0,0,Heatwave
Delhi,734,28.693333648560824,50,0,0,Heatwave
Kerala,3012,27.437337091934676,86,1,0,Flood
Assam,2745,26.378530992619712,76,0,1,Flood
Bihar,1086,30.522414041498237,65,0,0,Flood
Uttar Pradesh,858,28.00319597690753,56,0,0,Heatwave
Rajasthan,533,32.60397965078888,44,0,0,Drought
Gujarat,819,30.491116885297757,52,1,0,Drought
Odisha,1497,30.18968148680607,79,1,0,Cyclone
Andhra Pradesh,1074,29.81347513675873,71,1,0,Cyclone
Tamil Nadu,963,29.771329235547956,66,1,0,Cyclone
West Bengal,1610,29.44366584762809,75,1,0,Flood
Himachal Pradesh,1126,18.415844800884884,61,0,1,Landslide
Uttarakhand,1545,19.844181943148847,63,0,1,Landslide
Maharashtra,1285,27.11598235490148,66,0,0,Flood
Telangana,933,29.270836135386904,58,0,0,Heatwave
Karnataka,1240,27.952204605405292,66,1,0,Flood
Jharkhand,1438,28.985702942422826,67,0,0,Flood
Madhya Pradesh,1227,28.214911523693317,62,0,0,Heatwave
Punjab,602,27.007813434543255,50,0,0,Flood
Haryana,696,28.061366789068458,48,0,0,Heatwave
Delhi,562,29.984344105049434,48,0,0,Heatwave
Kerala,2843,28.463322430968187,84,1,0,Flood
Assam,2877,26.84926825219246,77,0,1,Flood
Bihar,1279,29.846352971086016,65,0,0,Flood
Uttar Pradesh,1135,29.043297449513716,54,0,0,Heatwave
Rajasthan,643,32.23425847814333,44,0,0,Drought
Gujarat,772,29.786494897309435,50,1,0,Drought
Odisha,1327,30.70062042968036,81,1,0,Cyclone
Andhra Pradesh,1169,30.913508165211816,79,1,0,Cyclone
Tamil Nadu,896,29.12255704527683,67,1,0,Cyclone
West Bengal,1785,29.40227560036274,75,1,0,Flood
Himachal Pradesh,1231,17.507555663245967,56,0,1,Landslide
Uttarakhand,1437,19.206269598284646,68,0,1,Landslide
Maharashtra,1188,27.664417024412884,67,0,0,Flood
Telangana,905,30.487461649413493,53,0,0,Heatwave
Karnataka,1199,26.33301207775879,70,1,0,Flood
Jharkhand,1347,27.828996091706912,74,0,0,Flood
Madhya Pradesh,979,29.160507005277676,57,0,0,Heatwave
Punjab,750,27.655731600203328,54,0,0,Flood
Haryana,645,28.200982511324273,51,0,0,Heatwave
Delhi,560,29.34849268477708,52,0,0,Heatwave
Kerala,2856,28.985432241452127,80,1,0,Flood
Assam,2787,26.08954526926816,83,0,1,Flood
Bihar,1226,29.34816611864325,67,0,0,Flood
Uttar Pradesh,1080,29.54232396616866,51,0,0,Heatwave
Rajasthan,482,32.00827958019971,45,0,0,Drought
Gujarat,855,30.698364165144984,54,1,0,Drought
Odisha,1544,29.980844032009372,77,1,0,Cyclone
Andhra Pradesh,1085,30.36053119997778,75,1,0,Cyclone
Tamil Nadu,929,30.126604449787862,73,1,0,Cyclone
West Bengal,1829,28.456294573999227,75,1,0,Flood
Himachal Pradesh,1388,18.147974623278166,63,0,1,Landslide
Uttarakhand,1506,19.351431569304996,61,0,1,Landslide
Maharashtra,1247,28.173596430047226,68,0,0,Flood
Telangana,821,29.52128138104612,52,0,0,Heatwave
Karnataka,1266,26.982369998862197,67,1,0,Flood
Jharkhand,1431,27.674374640399623,69,0,0,Flood
Madhya Pradesh,1009,28.848255331599464,59,0,0,Heatwave
Punjab,635,26.372583088662154,58,0,0,Flood
Haryana,562,27.050383453672204,54,0,0,Heatwave
Delhi,590,29.172978837308396,51,0,0,Heatwave
Kerala,2893,27.498040741939267,82,1,0,Flood
Assam,2706,26.91755877449527,78,0,1,Flood
Bihar,1183,29.116014436246676,61,0,0,Flood
Uttar Pradesh,1137,28.302079005929976,52,0,0,Heatwave
Rajasthan,561,31.930224800331494,48,0,0,Drought
Gujarat,840,29.404806512851994,51,1,0,Drought
Odisha,1490,29.6037062820994,74,1,0,Cyclone
Andhra Pradesh,1041,30.983409253747276,71,1,0,Cyclone
Tamil Nadu,895,29.095367571608914,74,1,0,Cyclone
West Bengal,1807,28.66671869646546,73,1,0,Flood
Himachal Pradesh,1126,18.50109465829324,57,0,1,Landslide
Uttarakhand,1646,20.96010840444787,64,0,1,Landslide
Maharashtra,1313,27.36605997833145,60,0,0,Flood
Telangana,784,29.11347705895586,59,0,0,Heatwave
Karnataka,1022,27.185592074410792,72,1,0,Flood
Jharkhand,1357,28.27027167528559,67,0,0,Flood
Madhya Pradesh,956,29.287565417576342,63,0,0,Heatwave
Punjab,620,27.37439827200963,51,0,0,Flood
Haryana,614,27.265375677756943,47,0,0,Heatwave
Delhi,707,29.28955252596774,47,0,0,Heatwave
Kerala,2832,28.063978715475873,78,1,0,Flood
Assam,2682,25.13904333274003,82,0,1,Flood
Bihar,1161,29.840286066771593,62,0,0,Flood
Uttar Pradesh,879,28.088420868530672,58,0,0,Heatwave
Rajasthan,699,32.80022680861014,40,0,0,Drought
Gujarat,766,30.860764461499752,53,1,0,Drought
Odisha,1527,29.334653276000747,79,1,0,Cyclone
Andhra Pradesh,1193,29.091063070023484,73,1,0,Cyclone
Tamil Nadu,834,30.623790574649256,73,1,0,Cyclone
West Bengal,1690,29.413713947362673,75,1,0,Flood
Himachal Pradesh,1297,17.680042698793976,64,0,1,Landslide
Uttarakhand,1475,19.826920100361935,62,0,1,Landslide
Maharashtra,1077,28.91478929988544,68,0,0,Flood
Telangana,1048,29.618477137232908,58,0,0,Heatwave
Karnataka,1192,27.621695530799585,67,1,0,Flood
Jharkhand,1168,28.044076310814724,68,0,0,Flood
Madhya Pradesh,1029,29.27334129571544,62,0,0,Heatwave
Punjab,603,26.892157193526188,59,0,0,Flood
Haryana,743,27.613682858758768,47,0,0,Heatwave
Delhi,625,29.5064470886614,54,0,0,Heatwave
Kerala,2779,27.992881304249742,85,1,0,Flood
Assam,2769,25.459799874704537,76,0,1,Flood
Bihar,1170,29.854650000958618,65,0,0,Flood
Uttar Pradesh,854,29.460532625302985,52,0,0,Heatwave
Rajasthan,601,32.02407151461422,46,0,0,Drought
Gujarat,703,29.58651097561603,50,1,0,Drought
Odisha,1476,29.241453444631333,79,1,0,Cyclone
Andhra Pradesh,984,30.08524634060525,72,1,0,Cyclone
Tamil Nadu,1036,30.11377090711852,68,1,0,Cyclone
West Bengal,1865,29.622716974339337,78,1,0,Flood
Himachal Pradesh,1274,17.131746894156596,61,0,1,Landslide
Uttarakhand,1581,19.88762811222534,64,0,1,Landslide
Maharashtra,1134,27.497278249919493,69,0,0,Flood
Telangana,839,30.77410144775854,53,0,0,Heatwave
Karnataka,1001,27.499155615428162,74,1,0,Flood
Jharkhand,1418,28.07984473410136,73,0,0,Flood
Madhya Pradesh,1214,29.278956231797487,60,0,0,Heatwave
Punjab,794,27.16403839302855,52,0,0,Flood
Haryana,703,28.163206449961994,48,0,0,Heatwave
Delhi,487,28.917692311478522,47,0,0,Heatwave
Kerala,2854,28.770678542890536,83,1,0,Flood
Assam,2797,25.283337232774915,79,0,1,Flood
Bihar,1066,30.488513203856833,63,0,0,Flood
Uttar Pradesh,1024,28.756486091947394,56,0,0,Heatwave
Rajasthan,542,31.66713744186219,41,0,0,Drought
Gujarat,832,30.14448837264565,54,1,0,Drought
Odisha,1406,30.313128735625845,80,1,0,Cyclone
Andhra Pradesh,1060,30.40669472054207,78,1,0,Cyclone
Tamil Nadu,945,30.863248794371582,71,1,0,Cyclone
West Bengal,1702,29.82691950499671,73,1,0,Flood
Himachal Pradesh,1187,18.953395007716217,64,0,1,Landslide
Uttarakhand,1425,19.291386223947868,61,0,1,Landslide
Maharashtra,1349,28.499642559199533,63,0,0,Flood
Telangana,799,30.15989838671156,51,0,0,Heatwave
Karnataka,1271,27.387970731484995,70,1,0,Flood
Jharkhand,1281,27.816323287741724,69,0,0,Flood
Madhya Pradesh,1051,28.19219985955686,61,0,0,Heatwave
Punjab,624,26.15581601524194,56,0,0,Flood
Haryana,576,27.105504235662405,49,0,0,Heatwave
Delhi,570,28.72075886483323,46,0,0,Heatwave
Kerala,3055,28.546948635770402,85,1,0,Flood
Assam,2857,26.95410993569861,77,0,1,Flood
Bihar,1163,29.193979100338108,61,0,0,Flood
Uttar Pradesh,888,28.93273525401108,52,0,0,Heatwave
Rajasthan,439,31.241101115446625,47,0,0,Drought
Gujarat,904,29.221566728658892,58,1,0,Drought
Odisha,1320,30.647447820913754,80,1,0,Cyclone
Andhra Pradesh,1013,29.36047288552886,79,1,0,Cyclone
Tamil Nadu,965,30.763372690494254,73,1,0,Cyclone
West Bengal,1669,28.25340615876839,79,1,0,Flood
Himachal Pradesh,1243,17.37325129982616,64,0,1,Landslide
Uttarakhand,1427,20.721366193390487,62,0,1,Landslide
Maharashtra,1232,27.728904215170488,61,0,0,Flood
Telangana,1043,30.043252795225836,52,0,0,Heatwave
Karnataka,1000,26.09155821177751,72,1,0,Flood
Jharkhand,1160,28.571751867261295,65,0,0,Flood
Madhya Pradesh,1068,29.431478680897182,64,0,0,Heatwave
Punjab,599,26.772343696409763,56,0,0,Flood
Haryana,472,27.261131764580632,49,0,0,Heatwave
Delhi,663,28.949887532232136,52,0,0,Heatwave
Kerala,3034,27.16696899833568,86,1,0,Flood
Assam,2756,26.738424201732514,79,0,1,Flood
Bihar,1212,29.197528805661946,69,0,0,Flood
Uttar Pradesh,1090,29.17414548454685,51,0,0,Heatwave
Rajasthan,645,32.55585109372281,45,0,0,Drought
Gujarat,936,29.684257102134254,55,1,0,Drought
Odisha,1549,29.868569037462546,80,1,0,Cyclone
Andhra Pradesh,1216,29.52366125965723,70,1,0,Cyclone
Tamil Nadu,937,30.30339644951198,71,1,0,Cyclone
West Bengal,1625,28.488832112845806,78,1,0,Flood
Himachal Pradesh,1223,18.871914615466178,61,0,1,Landslide
Uttarakhand,1407,20.115109296756156,65,0,1,Landslide
Maharashtra,1342,27.76494160079653,68,0,0,Flood
Telangana,997,29.802007186674306,57,0,0,Heatwave
Karnataka,1188,27.238435020417228,65,1,0,Flood
Jharkhand,1154,28.03547388261278,65,0,0,Flood
Madhya Pradesh,1169,28.969032278131184,60,0,0,Heatwave
Punjab,542,26.744744379614772,59,0,0,Flood
Haryana,628,28.309003563161887,53,0,0,Heatwave
Delhi,681,29.901080987654524,51,0,0,Heatwave
Kerala,2976,27.35527984093069,81,1,0,Flood
Assam,2956,26.25216885975174,78,0,1,Flood
Bihar,1074,30.545096935136755,66,0,0,Flood
Uttar Pradesh,1096,28.73562814265687,54,0,0,Heatwave
Rajasthan,503,32.42444997343837,40,0,0,Drought
Gujarat,813,30.563343694152447,53,1,0,Drought
Odisha,1326,30.917392386333546,74,1,0,Cyclone
Andhra Pradesh,1228,30.50503462403418,70,1,0,Cyclone
Tamil Nadu,1009,29.91762138919885,66,1,0,Cyclone
West Bengal,1891,28.99109366726991,74,1,0,Flood
Himachal Pradesh,1356,18.893890331902377,57,0,1,Landslide
Uttarakhand,1638,20.938122444099733,66,0,1,Landslide
Maharashtra,1188,27.281682845671615,62,0,0,Flood
Telangana,834,29.335086693286588,58,0,0,Heatwave
Karnataka,1124,26.395235688376466,72,1,0,Flood
Jharkhand,1159,28.834130839187143,70,0,0,Flood
Madhya Pradesh,1206,29.070386531528182,64,0,0,Heatwave
Punjab,757,27.92942576790433,56,0,0,Flood
Haryana,630,27.886499447657584,46,0,0,Heatwave
Delhi,586,29.957174215917586,46,0,0,Heatwave
Kerala,3052,27.57098497087561,85,1,0,Flood
Assam,2933,25.085659072583617,79,0,1,Flood
Bihar,1226,30.499989152054926,69,0,0,Flood
Uttar Pradesh,991,28.157270108864857,52,0,0,Heatwave
Rajasthan,521,32.67332946006844,46,0,0,Drought
Gujarat,776,29.883230646022845,54,1,0,Drought
Odisha,1544,29.719192727928327,73,1,0,Cyclone
Andhra Pradesh,994,29.656673812699548,74,1,0,Cyclone
Tamil Nadu,987,29.86943544973655,72,1,0,Cyclone
West Bengal,1823,29.249211449342557,73,1,0,Flood
Himachal Pradesh,1138,18.449946736071947,55,0,1,Landslide
Uttarakhand,1406,20.654329523897815,66,0,1,Landslide
Maharashtra,1144,28.87997093264727,63,0,0,Flood
Telangana,791,29.52094504159103,56,0,0,Heatwave
Karnataka,1186,27.193539473243426,70,1,0,Flood
Jharkhand,1205,27.8063953035056,70,0,0,Flood
Madhya Pradesh,1177,29.847477019193985,59,0,0,Heatwave
Punjab,550,27.741415333500978,55,0,0,Flood
Haryana,673,28.4501285008496,48,0,0,Heatwave
Delhi,555,28.744419302397073,53,0,0,Heatwave
Kerala,3043,27.201768698638094,86,1,0,Flood
Assam,2845,26.90381278946305,81,0,1,Flood
Bihar,1333,30.016668206081977,64,0,0,Flood
Uttar Pradesh,932,29.20573967387289,51,0,0,Heatwave
Rajasthan,528,31.632620701579764,42,0,0,Drought
Gujarat,830,29.167962955039428,58,1,0,Drought
Odisha,1541,30.80201533876177,74,1,0,Cyclone
Andhra Pradesh,1157,29.590030068205508,77,1,0,Cyclone
Tamil Nadu,847,29.75577130484651,65,1,0,Cyclone
West Bengal,1790,28.026432640380744,82,1,0,Flood
Himachal Pradesh,1245,18.864063073898794,59,0,1,Landslide
Uttarakhand,1685,19.147598460222945,61,0,1,Landslide
Maharashtra,1312,28.48318243297647,65,0,0,Flood
Telangana,1006,29.013282934973333,52,0,0,Heatwave
Karnataka,1159,27.877978065818013,69,1,0,Flood
Jharkhand,1370,28.320207948685322,74,0,0,Flood
Madhya Pradesh,1249,28.089410747258306,62,0,0,Heatwave
Punjab,723,27.302074517864746,51,0,0,Flood
Haryana,650,27.408424753826317,48,0,0,Heatwave
Delhi,653,29.50285925030813,52,0,0,Heatwave
Kerala,2794,28.120192620207124,81,1,0,Flood
Assam,2687,25.321872405918796,78,0,1,Flood
Bihar,1261,29.83944565746029,61,0,0,Flood
Uttar Pradesh,1073,29.583355687401298,51,0,0,Heatwave
Rajasthan,403,31.71047856568198,46,0,0,Drought
Gujarat,869,29.905227092791538,56,1,0,Drought
Odisha,1584,29.304195463705057,81,1,0,Cyclone
Andhra Pradesh,1181,30.66169343210328,74,1,0,Cyclone
Tamil Nadu,893,29.00852124895066,65,1,0,Cyclone
West Bengal,1666,28.194817265684485,80,1,0,Flood
Himachal Pradesh,1102,17.03424802371033,57,0,1,Landslide
Uttarakhand,1611,19.062866436606857,66,0,1,Landslide
Maharashtra,1326,28.913578356864313,65,0,0,Flood
Telangana,960,30.212590137641804,50,0,0,Heatwave
Karnataka,1227,27.86519984559892,66,1,0,Flood
Jharkhand,1402,27.20912226162884,74,0,0,Flood
Madhya Pradesh,1022,29.275432495995474,61,0,0,Heatwave
Punjab,633,26.26025571654614,58,0,0,Flood
Haryana,640,27.164742579404372,53,0,0,Heatwave
Delhi,602,29.82409657359066,49,0,0,Heatwave
Kerala,2841,27.42027812298697,84,1,0,Flood
Assam,2947,25.323773582788476,78,0,1,Flood
Bihar,1175,29.270792124966363,62,0,0,Flood
Uttar Pradesh,1046,28.16673471358142,51,0,0,Heatwave
Rajasthan,485,32.90135084911148,41,0,0,Drought
Gujarat,880,30.338945740068567,57,1,0,Drought
Odisha,1349,29.68475066304031,81,1,0,Cyclone
Andhra Pradesh,1114,30.520040756578926,77,1,0,Cyclone
Tamil Nadu,863,30.047176697456095,65,1,0,Cyclone
West Bengal,1612,28.74556817830331,74,1,0,Flood
Himachal Pradesh,1176,17.57294029070917,57,0,1,Landslide
Uttarakhand,1400,20.596049011896934,63,0,1,Landslide
Maharashtra,1139,28.800143905433554,64,0,0,Flood
Telangana,985,30.729799695376357,53,0,0,Heatwave
Karnataka,1105,27.205909202244737,67,1,0,Flood
Jharkhand,1390,27.38112582826688,69,0,0,Flood
Madhya Pradesh,1218,29.025883458201076,62,0,0,Heatwave
Punjab,634,26.87957790472681,50,0,0,Flood
Haryana,483,28.56070527567602,53,0,0,Heatwave
Delhi,490,29.131545990937305,50,0,0,Heatwave
Kerala,2815,27.293134741595367,77,1,0,Flood
Assam,2931,25.87103674608096,78,0,1,Flood
Bihar,1235,29.26875003281049,66,0,0,Flood
Uttar Pradesh,1003,29.297701923691783,55,0,0,Heatwave
Rajasthan,657,32.4464054845456,46,0,0,Drought
Gujarat,684,30.916373866662553,55,1,0,Drought
Odisha,1403,30.786203384871914,73,1,0,Cyclone
Andhra Pradesh,1133,29.40147603578254,73,1,0,Cyclone
Tamil Nadu,1087,29.26446353041994,65,1,0,Cyclone
West Bengal,1879,29.109874924554664,74,1,0,Flood
Himachal Pradesh,1375,18.26162219286944,57,0,1,Landslide
Uttarakhand,1594,20.42036412617715,61,0,1,Landslide
Maharashtra,1155,27.168999330235206,63,0,0,Flood
Telangana,977,29.171360791744497,56,0,0,Heatwave
Karnataka,1206,27.115469423175092,70,1,0,Flood
Jharkhand,1418,28.204733868777353,71,0,0,Flood
Madhya Pradesh,1095,28.218151544158154,57,0,0,Heatwave
Punjab,558,27.5221908322615,59,0,0,Flood
Haryana,450,28.95220609108154,46,0,0,Heatwave
Delhi,701,28.351169064917165,50,0,0,Heatwave
Kerala,2867,27.841761753115186,80,1,0,Flood
Assam,2723,26.551419030037742,82,0,1,Flood
Bihar,1123,30.097129640912502,69,0,0,Flood
Uttar Pradesh,870,28.59493716586709,50,0,0,Heatwave
Rajasthan,664,31.15053320727911,48,0,0,Drought
Gujarat,686,30.300861671155616,56,1,0,Drought
Odisha,1398,30.34479685168811,74,1,0,Cyclone
Andhra Pradesh,1170,30.935801789145142,72,1,0,Cyclone
Tamil Nadu,842,30.61378663774966,67,1,0,Cyclone
West Bengal,1691,28.69185964518243,81,1,0,Flood
Himachal Pradesh,1107,18.633773989993877,59,0,1,Landslide
Uttarakhand,1602,20.870652474621888,64,0,1,Landslide
Maharashtra,1193,27.266456497698183,64,0,0,Flood
Telangana,1025,30.295920044794794,57,0,0,Heatwave
Karnataka,1240,27.028080862956877,69,1,0,Flood
Jharkhand,1165,27.82128315238989,71,0,0,Flood
Madhya Pradesh,993,28.497996975111914,60,0,0,Heatwave
Punjab,691,27.048998374399893,54,0,0,Flood
Haryana,559,27.787821865765626,53,0,0,Heatwave
Delhi,744,29.653758823821548,47,0,0,Heatwave
Kerala,2978,28.796036633922043,79,1,0,Flood
Assam,2950,25.586091668924958,75,0,1,Flood
Bihar,1135,30.00965440517953,64,0,0,Flood
Uttar Pradesh,1080,28.06254962341009,51,0,0,Heatwave
Rajasthan,408,31.57577203254666,47,0,0,Drought
Gujarat,842,30.299141295842727,51,1,0,Drought
Odisha,1300,29.68583206526005,75,1,0,Cyclone
Andhra Pradesh,1101,30.163194672474585,79,1,0,Cyclone
Tamil Nadu,1057,29.416606899381463,69,1,0,Cyclone
West Bengal,1787,28.003060762256812,73,1,0,Flood
Himachal Pradesh,1100,18.406636627900657,58,0,1,Landslide
Uttarakhand,1420,20.359511099019926,65,0,1,Landslide
Maharashtra,1207,27.106051634145135,69,0,0,Flood
Telangana,807,29.297935167017673,58,0,0,Heatwave
Karnataka,1029,27.869672310017954,71,1,0,Flood
Jharkhand,1361,27.008040304019296,71,0,0,Flood
Madhya Pradesh,981,29.49128272448219,63,0,0,Heatwave
Punjab,697,26.81990489354184,52,0,0,Flood
Haryana,667,28.862813635976234,49,0,0,Heatwave
Delhi,767,29.219198292533466,50,0,0,Heatwave
Kerala,2897,28.006893936613572,84,1,0,Flood
Assam,2839,25.36843409911283,76,0,1,Flood
Bihar,1252,30.658261170015262,69,0,0,Flood
Uttar Pradesh,870,29.470238038850475,51,0,0,Heatwave
Rajasthan,603,31.791963364487923,46,0,0,Drought
Gujarat,871,30.20456920171289,54,1,0,Drought
Odisha,1405,29.741219378196245,76,1,0,Cyclone
Andhra Pradesh,1098,30.21316553808732,70,1,0,Cyclone
Tamil Nadu,1088,29.013845488259303,71,1,0,Cyclone
West Bengal,1844,28.77167762794369,74,1,0,Flood
Himachal Pradesh,1206,18.542584292608414,64,0,1,Landslide
Uttarakhand,1566,19.423301302793956,65,0,1,Landslide
Maharashtra,1290,28.212923253353882,67,0,0,Flood
Telangana,864,30.432520969900242,50,0,0,Heatwave
Karnataka,1060,26.921067646730148,66,1,0,Flood
Jharkhand,1197,28.64761210084846,67,0,0,Flood
Madhya Pradesh,1040,29.745998784432803,58,0,0,Heatwave
Punjab,641,27.38074279608167,57,0,0,Flood
Haryana,527,28.274927680659907,50,0,0,Heatwave
Delhi,629,29.324618705469483,54,0,0,Heatwave
Kerala,2857,27.05635941311595,77,1,0,Flood
Assam,2819,25.733537000624295,80,0,1,Flood
Bihar,1050,30.08416231773719,63,0,0,Flood
Uttar Pradesh,922,28.740520125402366,52,0,0,Heatwave
Rajasthan,437,31.576617178703046,40,0,0,Drought
Gujarat,728,29.77826165754979,53,1,0,Drought
Odisha,1490,29.37444914307473,74,1,0,Cyclone
Andhra Pradesh,1055,30.61003166366754,70,1,0,Cyclone
Tamil Nadu,963,29.712902104436612,72,1,0,Cyclone
West Bengal,1736,28.07795659266114,75,1,0,Flood
Himachal Pradesh,1264,17.39743595198657,64,0,1,Landslide
Uttarakhand,1516,20.40526794242118,64,0,1,Landslide
Maharashtra,1137,28.547760716713004,67,0,0,Flood
Telangana,905,30.16109214284905,53,0,0,Heatwave
Karnataka,1252,26.777592702446075,68,1,0,Flood
Jharkhand,1235,27.81876653640129,71,0,0,Flood
Madhya Pradesh,950,29.096221334782374,63,0,0,Heatwave
Punjab,782,26.138109383337685,52,0,0,Flood
Haryana,741,27.7653940502117,47,0,0,Heatwave
Delhi,535,29.750886758255575,48,0,0,Heatwave
Kerala,2821,27.668033512926634,84,1,0,Flood
Assam,2794,26.308147305512357,83,0,1,Flood
Bihar,1221,29.095208804313636,67,0,0,Flood
Uttar Pradesh,1082,29.13173470203083,52,0,0,Heatwave
Rajasthan,411,32.88175643944295,46,0,0,Drought
Gujarat,867,29.612835255235506,54,1,0,Drought
Odisha,1410,29.89259788195568,78,1,0,Cyclone
Andhra Pradesh,1087,29.478288873910657,75,1,0,Cyclone
Tamil Nadu,1024,29.768459793381673,74,1,0,Cyclone
West Bengal,1813,29.260735125314497,78,1,0,Flood
Himachal Pradesh,1147,17.10333976729499,60,0,1,Landslide
